number,name,position,height,weight,date_of_birth,team
50,"Lee, Sean",MLB,74,234,7/22/86,DAL
40,"McCray, Danny",SS,73,221,3/10/88,DAL
29,"Murray, DeMarco",RB,72,219,2/12/88,DAL
70,"Nevis, Drake",DT,73,310,5/8/89,DAL
18,"Orton, Kyle",QB,76,228,11/14/82,DAL
78,"Parnell, Jermey",T,78,307,7/20/86,DAL
21,"Randle, Joseph",RB,72,198,12/29/91,DAL
90,"Ratliff, Jay",NT,76,303,8/29/81,DAL
95,"Rayford, Caesar",DE,79,267,3/4/86,DAL
9,"Romo, Tony",QB,74,236,4/21/80,DAL
32,"Scandrick, Orlando",CB,70,195,2/10/87,DAL
99,"Selvie, George",DE,76,270,3/6/87,DAL
59,"Sims, Ernie",ILB,72,233,12/23/84,DAL
87,"Smith, Andre",TE,77,270,9/26/88,DAL
77,"Smith, Tyron",T,77,318,12/12/90,DAL
93,"Spencer, Anthony",DE,75,262,1/23/84,DAL
34,"Tanner, Phillip",RB,70,208,8/8/88,DAL
94,"Ware, DeMarcus",DE,76,258,7/31/82,DAL
64,"Waters, Brian",G,75,320,2/18/77,DAL
20,"Webb, B.W.",CB,70,178,5/3/90,DAL
75,"Weems, Darrion",T,77,308,9/4/88,DAL
51,"Wilber, Kyle",DE,76,250,4/26/89,DAL
27,"Wilcox, J.J.",SS,72,217,2/14/91,DAL
83,"Williams, Terrance",WR,74,200,9/8/89,DAL
82,"Witten, Jason",TE,78,261,5/6/82,DAL
20,"Adams, Mike",SS,71,200,3/24/81,DEN
39,"Anderson, C.J.",RB,68,224,2/10/91,DEN
91,"Ayers, Robert",DE,75,274,9/6/85,DEN
24,"Bailey, Champ",CB,72,192,6/22/78,DEN
28,"Ball, Montee",RB,70,215,12/5/90,DEN
68,"Beadles, Zane",G,76,305,11/19/86,DEN
31,"Bolden, Omar",CB,70,195,12/20/88,DEN
65,"Boren, Justin",OG,74,315,4/28/88,DEN
55,"Bradley, Stewart",LB,76,258,11/2/83,DEN
46,"Brewer, Aaron",LS,77,230,7/5/90,DEN
30,"Bruton, David",SS,74,217,7/23/87,DEN
12,"Caldwell, Andre",WR,72,200,4/15/85,DEN
28,"Carter, Quinton",SS,73,200,7/20/88,DEN
32,"Carter, Tony",DB,69,175,5/24/86,DEN
78,"Clady, Ryan",T,78,315,9/6/86,DEN
75,"Clark, Chris",T,77,305,10/1/85,DEN
